recency,frequency,monetary,cluster
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
1.4843235,0.32375345,-0.0040182164,6
3.8108528,0.32375345,-0.088444926,0
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
4.0487933,0.83076686,0.49981207,0
0.18886974,17.56221,2.7916722,5
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.2605734,1.3377802,0.97238266,6
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
0.42681026,0.32375345,-0.12738095,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
0.0038049312,0.32375345,0.022592342,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
4.7626147,0.32375345,-0.08560683,0
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
4.2867336,0.32375345,0.030890413,0
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
1.0348804,1.3377802,0.65778613,6
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
0.90269125,1.8447937,0.12661546,6
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
1.2199452,3.3658338,1.793891,3
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
0.42681026,0.32375345,0.27306142,6
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
1.563637,0.83076686,0.058974084,6
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
1.880891,1.8447937,-0.019019598,6
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
1.6693883,1.3377802,0.7560519,6
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
3.8372905,0.32375345,-0.07307865,0
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
0.6911886,3.3658338,2.849745,3
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
1.6693883,0.32375345,1.0226711,6
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.0226329,0.32375345,0.30955127,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
5.026993,1.8447937,3.0753608,0
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
-0.31344905,-0.18326,-0.14265263,1
