,recency,recency,recency,frequency,frequency,frequency,monetary,monetary,monetary
,mean,median,count,mean,median,count,mean,median,count
cluster,,,,,,,,,
0,-0.27891245,-0.31344905,91022,-0.14641292,-0.18326,91022,-0.12282716,-0.14265263,91022
1,3.3167605,3.2556581,6842,0.6103842,0.32375345,6842,0.39030617,0.18320176,6842
2,1.2462838,1.0613182,1864,3.0141342,2.8588204,1864,2.5604274,2.1534512,1864
3,0.98456323,0.5589994,31,30.613716,28.716505,31,32.5618,32.11157,31
4,1.4120308,1.0613182,241,10.718581,9.957008,241,11.317206,10.429459,241
