,recency,recency,recency,frequency,frequency,frequency,monetary,monetary,monetary
,mean,median,count,mean,median,count,mean,median,count
cluster,,,,,,,,,
0,-0.28241217,-0.31344905,91028,-0.14263898,-0.18326,91028,-0.12009232,-0.14265263,91028
1,1.3240845,1.0084425,246,13.5782385,10.971035,246,14.447577,11.83275,246
2,2.9087427,2.9912798,8726,1.1051909,0.32375345,8726,0.8454802,0.31305158,8726
