,recency,recency,recency,frequency,frequency,frequency,monetary,monetary,monetary
,mean,median,count,mean,median,count,mean,median,count
cluster,,,,,,,,,
0,3.8115447,3.8372905,5044,0.5988715,0.32375345,5044,0.3911101,0.17127499,5044
1,-0.30792037,-0.31344905,88442,-0.17166843,-0.18326,88442,-0.13786104,-0.14265263,88442
2,1.0390548,0.5061238,19,37.068882,34.29365,19,36.092087,34.509613,19
3,1.4501855,1.2331641,1212,3.350774,3.3658338,1212,3.0152986,2.711361,1212
4,1.1679363,0.92912906,61,16.323767,14.520129,61,20.454027,19.885601,61
5,1.4184881,1.087756,255,8.845555,7.9289546,255,8.559602,8.270246,255
6,1.1671708,1.1670696,4967,0.83454365,0.83076686,4967,0.4931068,0.30815926,4967
