,recency,recency,recency,frequency,frequency,frequency,monetary,monetary,monetary
,mean,median,count,mean,median,count,mean,median,count
cluster,,,,,,,,,
0,-0.3063321,-0.31344905,88456,-0.17261028,-0.18326,88456,-0.13845316,-0.14265263,88456
1,3.9459925,4.0223556,4507,0.5880034,0.32375345,4507,0.39546096,0.1786473,4507
2,1.268014,0.90269125,121,12.223904,10.971035,121,6.060105,6.0379453,121
3,1.3134085,1.0348804,71,12.070754,11.478048,71,19.678633,18.478931,71
4,0.4087406,0.3210589,2082,1.4064536,1.3377802,2082,0.8962334,0.7103112,2082
5,1.0592844,0.5061238,13,33.591637,30.237545,13,43.51194,42.23911,13
6,1.7233083,1.6165127,962,3.3948212,3.3658338,962,2.7469585,2.6335225,962
7,1.747902,1.722264,3537,0.56013036,0.32375345,3537,0.30993873,0.16302422,3537
8,1.462405,1.1141939,234,4.733037,4.379861,234,7.9745803,7.1429524,234
9,1.0893112,0.61187506,17,33.100677,28.716505,17,17.513124,15.384903,17
